long,lat,baro_altitude,velocity,vertical_rate,geo_altitude,squawk,label
-74.00646259,41.03541776,10363.2,195.2374286,0.0,10675.62,1364.0,1
-74.02902634,41.02983051,10363.2,195.6416396,0.0,10675.62,1364.0,1
-74.05137012,41.02425872,10363.2,195.9599513,0.0,10675.62,1364.0,1
-74.07358469,41.01871869,10363.2,195.9599513,0.0,10675.62,1364.0,1
-74.09504224,41.01336709,10363.2,195.9599513,0.0,10675.62,1364.0,1
-74.11786984,41.00763384,10363.2,196.2790952,0.0,10683.24,1364.0,1
-74.13986979,41.00213801,10363.2,196.682511,0.0,10683.24,1364.0,1
-74.16214535,40.99657283,10363.2,196.682511,0.0,10683.24,1364.0,1
-74.18439553,40.99097532,10363.2,197.0018278,0.0,10683.24,1364.0,1
-74.20625712,40.98547515,10363.2,197.0018278,0.0,10683.24,1364.0,1
-74.22851354,40.97986726,10363.2,197.7245955,0.0,10683.24,1364.0,1
-74.25172786,40.97401739,10363.2,197.7245955,0.32512,10683.24,1364.0,1
-74.27404393,40.96839349,10363.2,197.7245955,-0.32512,10683.24,1364.0,1
-74.28301165,40.96299368,10363.2,96.08980947,0.0,10683.24,1364.0,3
-74.29193329,40.95764357,10363.2,95.44919108,0.0,10683.24,1364.0,3
-74.3009863,40.95220957,10363.2,96.89479627,0.0,10683.24,1364.0,3
-74.31003856,40.94677556,10363.2,96.89479627,0.0,10683.24,1364.0,3
-74.31909008,40.94134156,10363.2,96.89479627,0.0,10683.24,1364.0,3
-73.28355692,40.63154768,1248.017029,170.829606,-0.091325197,1269.852815,4144.0,2
-73.23460129,40.5759576,-2049.66925,17.4128101,13.99338715,-2060.841881,4144.0,2
-73.22928684,40.54020366,2851.694694,2.356133365,13.89352496,2852.027612,4144.0,2
-73.30947485,40.6491504,1219.665334,26.2677459,19.10235701,1229.738211,4144.0,2
-73.27828758,40.68298829,-2151.405116,40.00632517,-17.30119502,-2173.331045,4144.0,2
-73.24992155,40.57601908,2512.592225,147.084973,-12.97007761,2482.954853,4144.0,2
-73.17478479,40.57702659,-1467.099607,86.69124819,-19.59860281,-1461.434087,4144.0,2
-73.16454402,40.63920352,2131.864722,71.67690854,33.33109664,2114.831054,4144.0,2
-73.29958339,40.62685021,2176.17557,114.5461399,22.90430165,2187.257894,4144.0,2
-73.1409851,40.66572842,1990.976921,102.4094034,21.68490153,1962.196366,4144.0,2
-73.22318958,40.56589859,-2013.712151,48.50025029,11.63586923,-2029.202602,4144.0,2
-73.24213399,40.65822899,2479.987113,53.26484917,36.52082459,2476.140273,4144.0,2
-73.31029832,40.57685326,1623.935622,101.9578163,17.58287713,1607.565313,4144.0,2
-73.27913535,40.53445231,2670.154387,160.9659564,9.004897674,2678.56355,4144.0,2
-73.27556083,40.54590397,1219.153055,137.2784836,19.61403015,1207.901054,4144.0,2
-73.14037022,40.55840341,3304.985859,100.2895674,29.10134695,3313.745938,4144.0,2
-73.21213819,40.66066856,-1540.956026,14.92717482,-21.38393196,-1542.863583,4144.0,2
-73.14906922,40.6333965,1240.699904,283.8800253,31.39574774,1265.989539,4144.0,2
-73.28087155,40.66927597,3014.707967,38.85228864,-18.83202589,3025.701822,4144.0,2
-73.28686725,40.58800651,-1539.136545,284.7284596,20.53617367,-1553.422436,4144.0,2
-73.31103485,40.64935851,-2443.022302,285.6095408,-16.75698373,-2434.937901,4144.0,2
-73.28506452,40.65651538,2000.142951,62.97012658,-23.06553342,1975.368138,4144.0,2
-73.25941465,40.69385277,-1843.271453,202.0797216,20.50620754,-1857.010464,4144.0,2
-73.36367259,40.66612752,1657.747957,164.2547725,-13.63189259,1652.440199,4144.0,2
-73.39902948,40.77141752,2205.361378,12.30791608,-21.20603438,2221.836287,4144.0,2
-73.4983866,40.79080645,1644.244624,115.4173167,17.36374038,1629.517885,4144.0,2
-73.46275681,40.68043574,2070.124332,252.7286098,-6.284075748,2074.555123,4144.0,2
-73.33373953,40.68066523,2327.543488,64.63300999,5.882316284,2345.484361,4144.0,2
-73.50959532,40.7064284,1569.772552,106.0716267,-0.928930178,1550.823286,4144.0,2
-73.3918908,40.78242495,2249.467841,61.46191302,33.16030168,2251.555226,4144.0,2
-73.32318318,40.75117029,-2227.90424,62.19069832,-15.7037087,-2233.499543,4144.0,2
-73.31793782,40.76253218,-2262.910249,227.2055436,-17.64020605,-2287.614675,4144.0,2
-73.47272,40.67587766,-2861.161672,251.8289219,-15.79823242,-2855.178153,4144.0,2
-73.33290568,40.71686544,1412.397314,178.0583709,28.42524948,1403.62059,4144.0,2
-73.38495876,40.7505692,-504.4572402,72.3674846,35.7738591,-500.6396576,4144.0,2
-73.51520868,40.73614855,2815.395015,282.5770106,-20.6794119,2814.202512,4144.0,2
-73.36149912,40.74809245,-345.4511542,277.1498603,28.06901804,-333.2508394,4144.0,2
-73.44725423,40.65995425,2077.526067,296.003509,-6.2079809,2065.19919,4144.0,2
-73.3294859,40.71806635,-384.0462515,114.3690457,14.3886617,-375.7309969,4144.0,2
-73.47399423,40.76341136,2126.082489,44.10556808,-10.41210685,2131.821918,4144.0,2
-73.34693387,40.73108712,-1590.120821,124.0234082,-18.93173336,-1603.200245,4144.0,2
-73.38107787,40.6419414,-574.4890927,183.2057488,26.79766468,-584.3566068,4144.0,2
-73.30313527,40.65874476,-329.4628302,289.4043433,11.93257856,-304.9572305,4144.0,2
-73.32712113,40.74253355,-403.8199411,153.6682921,-20.95008083,-388.6430503,4144.0,2
-73.49794261,40.72417457,1964.463471,97.32709841,-27.1969003,1946.337719,4144.0,2
-73.42967045,40.6574411,-2276.985099,122.7920339,4.697838561,-2264.210478,4144.0,2
-73.50175346,40.70370243,2715.796183,175.853898,-12.80936213,2691.696107,4144.0,2
-73.45721826,40.67981676,-1189.821555,77.92390253,4.717021464,-1173.749903,4144.0,2
-73.34566026,40.7480977,-2639.082181,256.4005481,-23.15644988,-2627.093319,4144.0,2
-73.31928261,40.72029647,-2691.690793,249.5821263,31.2990947,-2681.959749,4144.0,2
-73.47559632,40.68597753,2385.249245,165.9922554,29.11892834,2371.278819,4144.0,2
-73.47416911,40.71431823,2384.852966,128.0546816,21.35784746,2378.479416,4144.0,2
-73.39355248,40.77090175,1833.474723,156.9794294,4.444381817,1819.811687,4144.0,2
-73.38639009,40.78241707,-636.5255693,9.335670848,23.21415398,-649.3255652,4144.0,2
-73.48057432,40.76466203,2128.17539,67.09196584,34.23075848,2143.476602,4144.0,2
-73.31493926,40.67686868,2822.766693,183.7039061,7.620364156,2799.938469,4144.0,2
-73.36884954,40.76192005,-2398.827187,261.7371589,24.830224,-2382.422329,4144.0,2
-73.34484863,40.68580518,1409.388008,23.13892079,3.644539039,1419.968383,4144.0,2
-73.3749334,40.76748396,1899.373004,163.094777,15.77808589,1907.15936,4144.0,2
-73.31597797,40.72898956,691.5939002,257.2047539,-20.59328255,678.538421,4144.0,2
-74.08840413,40.83895998,274.32,96.21065615,4.8768,251.46,1167.0,1
-74.099356,40.83664528,335.28,102.5022408,5.85216,327.66,1167.0,1
-74.11183691,40.83630365,381.0,102.6957023,5.52704,373.38,1167.0,1
-74.12391958,40.83646731,441.96,104.4460692,5.52704,434.34,1167.0,1
-74.13636976,40.83651727,449.58,103.8157679,-0.97536,434.34,1167.0,1
-74.14853419,40.83651165,457.2,105.1330224,-0.65024,441.96,1167.0,1
-74.15943617,40.83678491,457.2,110.9506755,0.0,441.96,1167.0,1
-74.18640022,40.83056836,472.44,236.6196349,4.22656,464.82,1167.0,3
-74.21458735,40.82453699,518.16,245.9128418,6.5024,510.54,1167.0,3
-74.24399709,40.8179489,632.46,257.511983,11.70432,632.46,1167.0,3
-74.27389393,40.8111752,746.76,262.0434528,13.0048,754.38,1167.0,3
-74.30403276,40.80440144,891.54,264.0155478,12.02944,891.54,1167.0,3
-73.26450698,40.64154537,-1613.291841,148.7681802,8.66133562,-1627.857687,1200.0,2
-73.19614752,40.5671647,-2390.838258,112.9767283,-16.67800596,-2376.895222,1200.0,2
-73.27901889,40.60309963,2011.826113,232.4006623,-18.499072,2012.706702,1200.0,2
-73.2097417,40.67219593,1508.430161,86.3434349,-24.12966938,1487.948498,1200.0,2
-73.24576473,40.57105903,-426.7158869,92.66899252,-10.40662931,-429.4463801,1200.0,2
-73.2506884,40.57947458,-1407.773099,8.388027277,-6.873906776,-1395.605863,1200.0,2
-73.13616803,40.63107497,-447.1655475,68.8357184,9.946624826,-460.9032833,1200.0,2
-73.2177435,40.65965433,-834.9186333,245.1374702,-10.9865633,-838.4260638,1200.0,2
-73.35075245,40.60668407,-1392.552021,105.5265638,-23.03114474,-1400.528915,1200.0,2
-73.31245607,40.57949829,1132.662386,181.1163641,2.731058473,1126.872446,1200.0,2
-73.29464421,40.55967664,-631.8490171,120.8129399,25.00702461,-639.5113695,1200.0,2
-73.26629888,40.56514062,-2073.638629,196.9523209,29.64226699,-2056.793202,1200.0,2
-73.14631766,40.59687364,1795.192286,76.08998894,30.08594221,1813.8884,1200.0,2
-73.20386871,40.67523448,-1539.195835,171.9785054,17.55341457,-1540.576757,1200.0,2
-73.2439502,40.56601144,1878.420941,68.7063558,-26.08387863,1888.475369,1200.0,2
-73.14781977,40.67073853,1029.410843,116.0248871,12.57770109,1044.926288,1200.0,2
-73.28446566,40.57939209,2751.641857,190.5665811,6.518270082,2729.447375,1200.0,2
-73.16686366,40.56701824,-1008.673663,179.396411,14.90677978,-999.6796001,1200.0,2
-73.16043921,40.65203884,-1455.582291,22.73520939,-1.612426635,-1440.324512,1200.0,2
-73.21503151,40.68457311,1735.134743,2.677076091,4.209331162,1744.853408,1200.0,2
-73.16924576,40.68040889,-978.3650841,67.55524192,21.61239729,-968.579121,1200.0,2
-73.18936402,40.5900957,-1726.950242,109.4492474,-0.933385767,-1714.488853,1200.0,2
-73.14011988,40.63520252,-429.1093139,176.5549587,-24.17615915,-458.6294258,1200.0,2
-73.22275786,40.59027133,3183.251728,194.2552264,35.71638519,3162.210372,1200.0,2
-73.29730702,40.6027864,-305.0752903,251.7185577,11.86749861,-298.6024945,1200.0,2
-73.26533935,40.59004008,-1247.14769,117.8430355,34.87506262,-1268.973599,1200.0,2
-73.33079846,40.61392327,-1892.324497,295.4237666,-22.07389456,-1903.215737,1200.0,2
-73.28332663,40.57784521,2315.229552,141.8337289,-5.431945127,2324.241806,1200.0,2
-73.31660011,40.62314465,2973.362381,53.86741748,9.580937929,2947.546759,1200.0,2
